train_loss,train_inverse_adversarial_acc,epoch,lr,test_clean_acc,test_inverse_adversarial_acc
2.1581587084114093,0.7669277494520788,1,0.00839999999999999,0.5359375,
1.1828686384593738,0.9341272379431274,2,0.009195000545041132,0.69990234375,
0.9097952865578635,0.9567495204908464,3,0.011567461984398342,0.70771484375,
0.8045500936105733,0.9582640665876286,4,0.015479961537568088,0.73642578125,
0.7327149693313462,0.9614929668128948,5,0.020870784139525728,0.7486328125,
0.6686552243159555,0.9695292519181585,6,0.027654895923073297,0.79765625,
0.6425529863980725,0.9672274616978053,7,0.035725285527783424,0.76337890625,
0.6267165223046032,0.966528133053304,8,0.044954652077972806,0.798046875,
0.5902778935401946,0.9687100383631714,9,0.055197413203844053,0.79912109375,
0.5741521406661519,0.9701726343625646,10,0.06629200143163153,0.776953125,
0.5587851245461217,0.9704483695652174,11,0.07806341271990463,0.8078125,
0.5624877469009145,0.9684742647973473,12,0.09032596694187611,0.8017578125,
0.5681644749001163,0.9665920716112532,13,0.10288623677036207,0.75888671875,
0.5642803573547421,0.9657928388746803,14,0.1155460987656898,0.78974609375,
0.5734076339113133,0.964661924582918,15,0.12810585853923956,0.78837890625,
0.5657784792468371,0.9657888427719741,16,0.1403674006968535,0.7322265625,
0.549393732224584,0.9692974744550408,17,0.15213731387546917,0.80810546875,
0.545036351131966,0.9691056586287515,18,0.1632299415792118,0.80458984375,
0.5389391006258748,0.9696211636523762,19,0.17347031069160493,0.80048828125,
0.5432742801697358,0.9679427749055731,20,0.1826968914700737,0.75419921875,
0.5431493129724126,0.9687979539946827,21,0.1907641454870834,0.7861328125,
0.539770409655388,0.9694892902813299,22,0.19754482132714773,0.7767578125,
0.5633469551725461,0.9640984655646108,23,0.20293196182779458,0.79072265625,
0.5558554284712848,0.9644301471198001,24,0.20684059120263043,0.68818359375,
0.5370814381048198,0.9666879796006186,25,0.2092090554341284,0.7474609375,
0.5327677602886849,0.9668038682559567,26,0.20999999939746639,0.75712890625,
0.5406645960210229,0.9657648656984119,27,0.20990742588328895,0.728515625,
0.5434901103034349,0.9649816176775471,28,0.20963080983315208,0.78544921875,
0.5155838089220969,0.9689617966447035,29,0.20917063652560253,0.761328125,
0.5284765443533582,0.9685461957131505,30,0.20852771326098962,0.80546875,0.95341796875
0.5243370436951328,0.9671994885215369,31,0.2077031679451863,0.80361328125,
0.5132697250150964,0.9690177429972402,32,0.20669844711085889,0.78515625,
0.5059799103023451,0.9716751918463451,33,0.2055153133797572,0.80888671875,
0.503149536564527,0.9717830882962707,34,0.20415584237047713,0.7703125,
0.4970672418318136,0.9717351343015881,35,0.20262241905712033,0.82890625,
0.4894477603456858,0.9729259910485933,36,0.20091773358523915,0.8173828125,
0.495603007200124,0.9707241049203117,37,0.19904477655240732,0.83623046875,
0.48435209359964143,0.9740609015955035,38,0.19700683376169545,0.8001953125,
0.49521726499433105,0.9722546355803604,39,0.1948074804572561,0.77490234375,
0.49151048864549995,0.9733895461272706,40,0.19245057505213053,0.77998046875,
0.46475054167420665,0.9758831521739131,41,0.18994025235928116,0.82138671875,
0.4914708767095795,0.9709718670991375,42,0.18728091633772462,0.8001953125,
0.47131378639994376,0.9745564258007138,43,0.18447723236649122,0.81318359375,
0.49349659384059175,0.9702365729205139,44,0.18153411905996467,0.765625,
0.48233111126496053,0.9708639706492119,45,0.17845673963896125,0.7376953125,
0.4810084168563413,0.9709279092071611,46,0.17525049287268593,0.834765625,
0.47478586058025163,0.9715073529411765,47,0.1719210036074568,0.8037109375,
0.45778299258340654,0.9750599425162196,48,0.168474112898813,0.81826171875,
